[4S, 8C, 9H, TS, KC]         [2S, 3S, 5D, 7D, AC]        player2 win
[4S, 4C, 7H, 8H, JD]         [4H, 5S, 6H, JS, QH]        player1 win
[2C, 3H, 5S, 8C, QS]         [2S, 6C, QC, QD, AD]        player2 win
[3D, 4H, 8C, TC, JD]         [2H, 2S, 5S, AD, AC]        player2 win
[2C, 2D, 5D, JS, AD]         [3D, 4C, 4S, 9D, JH]        player2 win
[5H, 5D, 6H, 7S, 8D]         [4D, 9D, TD, JD, KS]        player1 win
[2S, 3D, 6D, 9C, AS]         [5S, 5C, 7D, 8H, JD]        player2 win
[3S, 5H, 6S, 7C, 8S]         [7H, 7S, TC, JD, AD]        player2 win
[2S, 4D, 9D, TS, AC]         [3H, 6C, 8D, JD, QD]        player1 win
[2C, 3C, 9S, KH, AC]         [3D, 5H, 5D, 6H, 8D]        player2 win
[2D, 3D, 6S, KS, AS]         [2S, 4C, 7C, 7H, KH]        player2 win
[2H, 3S, 5C, JC, AC]         [2D, 4D, 5H, 7S, QH]        player1 win
[6H, 8C, TS, JD, AS]         [2C, 5S, 5D, 8S, JC]        player2 win
[6C, 7S, 7H, QH, QC]         [2D, 2S, 7C, 8H, JD]        player1 win
[2C, 2S, 2H, JC, QD]         [2D, 5D, 9C, JD, JH]        player1 win
[5C, 7C, 7D, 8S, 9C]         [6D, 6C, 8D, 9S, JH]        player1 win
[2C, 3S, 5H, 6S, AD]         [4C, 7S, 9D, KS, KH]        player2 win
[2C, 5C, 6C, 7H, TH]         [3S, 8D, 9D, QC, AH]        player2 win
[5S, 5H, 6H, TC, KC]         [3C, 6D, 8S, TH, AH]        player1 win
[4H, 9C, TD, KD, AD]         [4S, 5D, 6H, 7D, 9S]        player1 win
[5C, 5H, 6D, 7H, AS]         [4C, 4H, 9D, KD, KH]        player2 win
[2S, 3C, 5C, 6C, JD]         [2H, 3H, 7D, 9D, QS]        player2 win
[2S, 6S, 7S, JS, AC]         [5C, 6H, QD, QS, AD]        player2 win
[5H, 7H, TH, TC, QC]         [3S, 3D, 6D, 7C, KC]        player1 win
[3D, 4H, 8H, 9S, QC]         [2C, 3S, 5C, JC, KS]        player2 win
[2C, 4S, 6S, 6H, 8S]         [3S, 3D, 3H, 9H, JS]        player2 win
[2D, 4S, 4D, 8C, 8H]         [7D, 9H, 9D, TS, AH]        player1 win
[2C, 4C, 8D, 9S, 9H]         [3D, 5S, 6D, 7D, AS]        player1 win
[3H, 4C, 6S, 7H, 8C]         [5H, 9D, 9C, JC, AH]        player2 win
[2S, 5S, 7C, 8C, JD]         [3S, 3D, 4D, 6S, 7D]        player2 win
[3C, 4S, 5D, 7D, KC]         [3D, 3H, 4H, 7H, JD]        player2 win
[4H, 4D, 9C, 9H, TH]         [6D, 7S, 8S, 9S, QD]        player1 win
[2H, 4S, 8S, AC, AD]         [2C, 7D, 8C, TC, AH]        player1 win
[3C, 9H, TS, KS, AD]         [3D, 8C, 8H, TC, JD]        player2 win
[2C, 3C, 7D, 8D, QC]         [6C, 7C, 9H, 9C, JD]        player2 win
[5D, 6S, JS, JH, AH]         [2C, TD, JD, QC, AS]        player1 win
[2H, 2D, 5D, 9H, KD]         [3S, 7D, TC, TS, AH]        player2 win
[5D, 8H, TD, AS, AH]         [5H, 6S, TC, QC, AC]        player1 win
[4S, 4D, 7H, 8D, KS]         [2H, 3H, 6H, 9C, TC]        player1 win
[3H, 4S, QD, QH, KD]         [3D, 7S, 8H, 8C, TD]        player1 win
[8S, TC, JD, JS, AH]         [2D, 4D, QS, KH, KS]        player2 win
[3C, JC, JS, KD, AD]         [2C, 4S, 9H, TH, KH]        player1 win
[5S, 9S, JS, QC, KS]         [2S, 7C, JD, QD, AS]        player2 win
[2D, 3S, 5S, QS, KC]         [5D, 8H, 9H, KS, AC]        player2 win
[2C, 6H, 9C, TC, AD]         [5S, 6D, 6C, 7C, JD]        player2 win
[2C, TD, QS, QD, KH]         [2S, 3H, 8S, QC, AH]        player1 win
[9D, 9H, TC, JH, QH]         [2S, 3C, 5C, 7H, JS]        player1 win
[2S, 3S, 3D, 4S, 6C]         [2D, 2C, 5D, TH, QD]        player1 win
[2D, 2S, 6H, 6D, JC]         [4H, 7H, QH, KH, AS]        player1 win
[5H, 6S, TC, KS, AD]         [4S, 4H, 7C, TS, AC]        player2 win
[3C, 4H, 8C, QS, AD]         [2H, 2D, 4D, 9D, KS]        player2 win
[4S, 6C, 6D, 9D, 9C]         [3H, 7H, 8D, KD, AC]        player1 win
[6C, TS, JC, JD, AH]         [3S, 5D, 6D, QD, AD]        player1 win
[3S, 7S, JC, JH, JD]         [3H, 4S, 8S, JS, QC]        player1 win
[2C, 5C, TH, JD, AD]         [2H, 7H, 7S, 9S, JS]        player2 win
[3S, 4D, 8D, JH, QC]         [2C, 6H, JD, KC, AS]        player2 win
[2C, 5H, 5S, KD, AC]         [2D, 7H, JH, QD, AH]        player1 win
[8D, 8S, TC, JC, QH]         [5H, 5C, 6C, 8C, AH]        player1 win
[3H, 8S, JS, JH, QD]         [3C, 3S, 4H, 5C, 6D]        player1 win
[4S, 4C, 5H, 6D, AH]         [3H, 5S, 7C, 8D, JD]        player1 win
[2H, 3H, 8H, JS, AH]         [3C, 4H, 7D, QC, KD]        player1 win
[2H, 5H, 6S, 8H, KD]         [2D, 3C, 7S, 8S, QD]        player1 win
[2S, 7S, QC, KC, AH]         [4C, 6D, 8D, TC, QS]        player1 win
[2C, 3S, 5S, 9H, QD]         [2H, 6C, 7S, 7C, 9D]        player2 win
[3C, 5C, 5S, 6C, JD]         [3S, 5D, TS, JC, KS]        player1 win
[2S, 5S, 6S, 7C, KS]         [2D, 2H, 5H, TC, QS]        player2 win
[5H, 6S, 7H, TS, AS]         [2H, 3C, 9S, 9D, KD]        player2 win
[3S, 4S, 4H, JS, QS]         [2S, 6S, 7C, 9D, AC]        player1 win
[2H, 5H, 7C, 8C, JH]         [5D, QH, QS, QC, KH]        player2 win
[3S, 3H, 7C, TD, KC]         [5H, 8D, 8S, 8C, KH]        player2 win
[3C, 4H, TS, JD, KH]         [5S, 7H, JS, QC, AS]        player2 win
[2C, 4D, 8D, 9D, AH]         [2D, 6H, 6C, 6S, KC]        player2 win
[2S, 3S, 6H, 7H, 9D]         [3D, 4D, 8H, KH, KD]        player2 win
[9C, TC, JH, KH, AC]         [3S, 4D, 5H, TD, JD]        player1 win
[4H, 4C, 7S, 9D, AS]         [2S, 7D, 9S, QS, KH]        player1 win
[3S, 8D, 8S, 8C, KS]         [2H, 5C, 5D, JC, KH]        player1 win
[2C, 4D, 8S, QH, KC]         [6H, 9D, JS, QC, AC]        player2 win
[7C, 8S, 8C, JS, JD]         [4C, 4S, 6S, 9C, AC]        player1 win
[2C, 5D, 7D, JC, QH]         [2D, 4C, 8S, JS, JH]        player2 win
[4C, 7S, TS, JS, JH]         [4S, 5H, QD, KC, KH]        player2 win
[2D, 6S, 8C, 8D, QD]         [5S, 9D, TD, QH, AC]        player1 win
[3D, 3C, JS, QH, QC]         [4H, 5C, 7H, 8S, KH]        player1 win
[2C, 5S, 7C, 8S, JC]         [2H, 3H, 5D, QC, KC]        player2 win
[4H, 5S, 6H, 8D, KD]         [3D, 6D, QD, QH, AH]        player2 win
[2S, 4D, 6C, 7S, KS]         [5H, TS, JD, QS, AC]        player2 win
[2D, 5D, 7C, TC, QS]         [6C, JS, QC, KC, AC]        player2 win
[2C, 3H, 4D, TS, KS]         [4H, 7S, 8S, 9S, AD]        player2 win
[4H, 5H, 9H, QD, QH]         [3S, 4D, JC, KH, AD]        player1 win
[4D, 6D, 8D, KC, AC]         [2D, 2C, 4C, JD, KH]        player2 win
[2C, 2D, 3H, 9H, AH]         [6D, 7D, 9C, TC, KS]        player1 win
[3H, 5C, 7C, 8C, KD]         [2S, 4S, 5H, AS, AH]        player2 win
[3H, 4H, TH, JD, KD]         [3S, 5C, TC, KH, AC]        player2 win
[6D, 7H, 7S, QC, AH]         [2D, 6H, TD, JD, AS]        player1 win
[5D, 7H, 9S, TC, JH]         [5S, 7D, JC, KH, AS]        player2 win
[2H, 6H, 8C, TH, AD]         [6S, 6C, 9H, QD, KD]        player2 win
[3S, 4D, 9D, QH, KC]         [2C, 4H, 9H, JS, JH]        player2 win
[4H, 7H, TC, JC, KH]         [3H, 7D, 7S, 9S, QS]        player2 win
[6C, 7D, 7H, JH, AD]         [3S, 3H, 4H, 4D, QH]        player2 win
[2H, 5C, 6C, JD, AS]         [3C, 4D, TC, JH, QC]        player1 win
[3H, 4C, 6H, JD, AC]         [7D, 7H, 9H, JC, AD]        player2 win
[2C, 4H, 8C, TC, TS]         [2H, 6S, 9S, JD, KS]        player1 win
[3H, 4C, 9S, QS, QC]         [6D, 9H, 9D, 9C, KC]        player2 win
[2C, 5C, 8C, QH, AD]         [8D, 8H, TH, JC, QD]        player2 win
[2C, 2S, 9C, QC, QD]         [3S, 4D, 8D, JH, QS]        player1 win
[2C, 3S, 7S, 7C, 9D]         [3C, 9H, TD, TC, JC]        player2 win
[3C, 4C, 5C, 8H, TS]         [2C, 4H, 6S, 7C, 8D]        player1 win
[2H, 4H, 7H, TC, KS]         [2C, 3S, QS, AS, AH]        player2 win
[2D, 2H, 2C, 4S, 8C]         [3S, 4C, 5S, 6S, 7D]        player2 win
[3C, 5D, TH, TD, QC]         [QS, KD, KC, KS, AS]        player2 win
[4D, 9H, KD, KS, AH]         [4C, 5C, 6H, 7S, JC]        player1 win
[4H, 5C, TC, QS, KC]         [2H, 9S, JC, QH, AH]        player2 win
[3H, 3C, 4S, 5H, 9H]         [2H, 8H, JH, QD, QC]        player2 win
[2C, 3D, 5D, 7H, AS]         [4C, 6H, 6S, 7D, JH]        player2 win
[9C, 9H, JD, JS, AH]         [3H, 8S, 8H, QH, KS]        player1 win
[3S, 4D, TS, QC, AC]         [3D, 8S, 9H, AD, AH]        player2 win
[3H, 7H, 9C, 9S, QS]         [5H, JH, JS, AH, AC]        player2 win
[2H, 3C, 8D, JD, AC]         [4D, 5S, 7H, 8H, 9C]        player1 win
[6C, 7C, 9H, JH, JS]         [4H, 7H, 8C, 9S, 9D]        player1 win
[2D, 4D, 6H, 9S, AS]         [9H, JS, JH, QD, AD]        player2 win
[6H, 7S, JH, KH, AH]         [2C, 5S, 6S, 7H, TD]        player1 win
[5H, 5S, 6S, 8H, JH]         [4C, 9D, 9S, TC, QC]        player2 win
[2C, 3H, 5H, 7D, KD]         [4D, 7H, JS, QD, AS]        player2 win
[6C, 8H, TS, TH, QH]         [3C, 3H, 5H, 9C, 9D]        player2 win
[3H, 5D, JS, KH, AD]         [5C, 9S, KC, AS, AC]        player2 win
[2C, 8C, JC, QS, KH]         [2D, 6D, TC, KC, AH]        player2 win
[2S, 3H, 4D, 7C, 9D]         [6D, 7D, 8D, KH, KS]        player2 win
[2S, 9H, TC, JH, AC]         [3H, 3S, 5S, 8H, QC]        player2 win
[3S, 4C, 8H, KD, AS]         [3H, 7C, TS, JH, QH]        player1 win
[6D, 7S, 7H, 9D, JH]         [3D, 3S, 4C, 6C, AS]        player1 win
[2H, 2C, 4S, 4C, 8S]         [5H, 8C, QC, QD, KC]        player1 win
[3H, 3S, 6C, QS, QC]         [2D, 2C, 5D, 6S, 9D]        player1 win
[2H, 2S, 3H, 8D, JH]         [2D, 5C, 6C, 7S, AD]        player1 win
[5D, 8S, 9H, JS, QH]         [2H, 6S, 7S, TS, AD]        player2 win
[5H, 6D, 7H, 9S, QC]         [4H, 5C, 7D, JD, KC]        player2 win
[4D, 5S, 9H, 9C, QC]         [2S, 4C, 6S, 7C, KS]        player1 win
[3S, 4H, 7C, 8D, 9H]         [5C, 6H, 7S, 8H, JS]        player2 win
[2D, 4H, 6H, TD, JS]         [4D, 5H, TH, JC, KC]        player2 win
[3H, 7C, 8D, TH, AC]         [2D, 4C, 4D, 9S, KC]        player2 win
[3D, 7S, 9C, QS, KD]         [4C, 4H, TS, KS, AD]        player2 win
[2S, 7D, 8H, 9C, QH]         [4C, 5D, 7H, KS, KD]        player2 win
[2S, 2H, 6S, 9C, JC]         [5C, 6C, TC, JH, QC]        player1 win
[7S, 8H, 8S, KC, AC]         [3D, 6H, 6S, JC, QS]        player1 win
[2D, 4S, 8C, JS, JH]         [5D, 6H, 6D, 8H, AD]        player1 win
[2S, 4H, 6H, 7D, 9H]         [5S, 7C, 8H, AS, AC]        player2 win
[3C, 4S, 5H, 6D, JS]         [2S, 2C, 6S, 9C, QH]        player2 win
[3D, 4C, 5S, 6S, 9S]         [8D, 8S, TC, QS, QD]        player2 win
[3D, 5S, 9C, 9H, AH]         [2C, 3S, 7D, JC, AD]        player1 win
[3C, 6S, 7H, TC, AS]         [6D, 7S, 9H, KH, KC]        player2 win
[3S, 5H, 6S, 8H, TC]         [2S, 7D, 8C, JH, AC]        player2 win
[3S, 9D, 9C, JC, QD]         [4D, 5D, 8C, 8H, KS]        player1 win
[6D, 9D, JS, JD, AH]         [3H, 8C, 8H, 9H, 9S]        player2 win
[2D, 4C, 4D, 6S, 8S]         [4S, 9H, TC, AD, AH]        player2 win
[TS, TH, QC, KC, AC]         [2H, 4H, 6D, 7S, 8C]        player1 win
[3C, 5S, 9D, JS, QD]         [2H, 9H, TS, JC, AH]        player2 win
[3H, 4D, 5D, 9C, QH]         [3S, 4S, 5H, 7D, JC]        player1 win
[2H, 3H, 7C, 8S, TH]         [8D, TS, JD, JS, AC]        player2 win
[2H, 9C, TD, JD, KC]         [2S, 2C, 5S, 8C, AD]        player2 win
[3D, 4D, 5H, 7C, KD]         [6H, 7D, TC, QH, QD]        player2 win
[2C, 5S, 7H, KC, KD]         [6H, 7S, QC, QH, AH]        player1 win
[2C, 5C, 5H, 6H, AC]         [2D, 2S, 7C, 9C, TD]        player1 win
[3D, 4D, 7C, 9D, AH]         [4H, 4C, 8C, JD, KS]        player2 win
[3C, 8H, TH, JS, QH]         [3D, 4C, QS, QC, AS]        player2 win
[4D, 5H, 6D, 7S, JH]         [3C, 6H, 7D, JS, KH]        player2 win
[2H, 2C, 7D, 8S, QD]         [2S, 5H, 7C, 8C, JC]        player1 win
[2H, 8S, 9D, TC, QH]         [6S, 7C, 8D, QD, AD]        player2 win
[2H, 3S, 7C, 9H, AD]         [2D, 4C, 9S, TS, JD]        player1 win
[2C, 3S, 4H, QC, AS]         [7S, 8H, 8S, TD, TC]        player2 win
[3S, 4D, TH, TD, JH]         [2C, 4H, 5S, 5D, QS]        player1 win
[6D, 8C, TC, QD, QH]         [4S, 4H, 9S, 9D, QC]        player2 win
[6H, 8C, 9D, JS, JD]         [3H, 6S, TD, QC, AD]        player1 win
[3D, 7C, 8S, TD, KC]         [3S, 4S, 7D, 8D, 9H]        player1 win
[3D, 4S, 6C, 9D, KD]         [5S, TC, KC, KS, AC]        player2 win
[3D, 6S, 7C, JS, QH]         [2D, 6H, 6D, 8C, KD]        player2 win
[2S, 4H, 5S, 8S, JD]         [2D, 5C, 6S, TS, AC]        player2 win
[3C, 4S, 5H, 5S, 8C]         [3D, 3H, 7C, 8D, AS]        player1 win
[3H, 7C, TS, AS, AD]         [6C, 6H, 7D, JC, QS]        player1 win
[3S, 4C, 9S, QH, AC]         [4H, 5H, 5D, 9H, TS]        player2 win
[5C, 6C, 7H, 7S, TD]         [2H, 2S, 5S, JD, AD]        player1 win
[3S, 6C, 7D, JD, KC]         [8D, 8S, TS, QS, KH]        player2 win
[6C, 8S, 8D, TH, QS]         [2C, 8H, 9S, AC, AH]        player2 win
[7H, 8S, TD, QH, KH]         [3D, 4D, JD, AH, AS]        player2 win
[2H, 2S, 3D, TS, JC]         [6C, JH, JS, QC, KH]        player2 win
[2D, 6H, 7S, TH, KC]         [2S, 8C, 9D, TC, QS]        player1 win
[3C, 6S, 8H, 9D, KH]         [2C, 2H, 5D, 6D, TH]        player2 win
[4D, 6H, 7D, TC, AD]         [7S, 8S, 9H, TS, TD]        player2 win
[2H, 6D, JS, JD, JC]         [3D, 6C, 8D, KH, AC]        player1 win
[4H, 5D, 9S, JD, KH]         [3H, 4C, 5C, 7S, QS]        player1 win
[3S, 3C, 4H, 5D, JD]         [4D, 7S, QH, QS, KH]        player2 win
[8S, TS, JD, QD, AH]         [2C, 3S, 4C, 5S, 6H]        player2 win
[3D, 8D, JD, QS, AS]         [6S, 7C, TH, QC, KS]        player1 win
[2H, 7S, 7H, 8C, QC]         [2D, 6D, TH, KH, AC]        player1 win
[5S, 6C, 7H, 7D, KH]         [3D, 5C, 7S, 8C, AH]        player1 win
[3C, 6C, 7D, KD, AD]         [2D, 4D, 4S, 8C, KS]        player2 win
[2D, 2S, 5S, 7C, 8D]         [2C, 9D, TD, AH, AD]        player2 win
[3C, 4S, JH, KS, AD]         [5C, 7C, 8C, 9C, TH]        player1 win
[4D, 7C, TD, JD, AS]         [3C, 5H, 8C, 9S, QH]        player1 win
[3H, 6S, 8S, 9C, 9S]         [5H, JH, QD, KS, AH]        player1 win
[2H, 4H, 5S, 9C, QC]         [7D, 8C, 9D, TD, AS]        player2 win
[2C, 8C, 9D, TC, KD]         [3D, 3C, 7S, QC, KH]        player2 win
[4D, 4C, 5S, QS, AS]         [6S, 9D, JD, QH, KS]        player1 win
[4C, 5H, 6D, 6C, AH]         [3D, 5S, 7D, 9H, TS]        player1 win
[7C, 8D, 9C, JD, QS]         [3S, 6S, 6C, KH, AC]        player2 win
[5D, 6D, 8H, 9S, JH]         [3S, 6S, 7H, QC, AS]        player2 win
[2H, 5C, JH, QD, AD]         [2C, 4H, KC, AH, AS]        player2 win
[2C, 2D, 6H, 9C, JH]         [5D, 6D, 9H, JS, KC]        player1 win
[3H, 7D, 9D, TH, KD]         [6S, 6H, QC, AS, AD]        player2 win
[3H, 4H, 7D, JD, KC]         [3C, 3D, TH, JS, QS]        player2 win
[3H, 4C, 5H, 8C, QD]         [6H, 8H, JD, AS, AD]        player2 win
[5D, 8S, TH, QC, KD]         [5S, 5H, 7D, TS, JS]        player2 win
[3H, 7D, 9D, QS, KC]         [3C, 6D, 7S, TS, AH]        player2 win
[4H, 7C, 7H, QC, AH]         [4D, 5D, 6D, TH, AC]        player1 win
[2S, 3C, 4H, 8H, KD]         [5H, 6C, TC, JH, JD]        player2 win
[3D, 4S, 4H, 8C, JS]         [7S, TD, JH, QS, KD]        player1 win
[4D, 7C, 7H, QC, KD]         [6S, TD, TC, KH, AD]        player2 win
[3H, 4D, 5H, 9H, KC]         [3D, 6S, 6H, QD, AD]        player2 win
[6H, 7C, TH, TS, QH]         [2C, 5S, 6S, TD, KC]        player1 win
[4D, 5S, 7C, JD, JH]         [4H, 7D, KD, KH, AC]        player2 win
[5C, 6C, 7D, 8D, 8H]         [8S, TH, JH, JD, QD]        player2 win
[6C, 7D, 7C, 8D, 9D]         [5C, JH, QH, KD, AS]        player1 win
[2C, 3C, 4C, 8C, 9S]         [2D, 4H, 8D, JH, KS]        player2 win
[6C, 7S, 8H, JH, KH]         [2D, 3H, 6D, 9D, AH]        player2 win
[4D, 7H, 8D, 9C, TC]         [3C, TD, TH, KS, KD]        player2 win
[8D, 9H, JD, QD, AS]         [2C, 2S, 9D, 9C, KD]        player2 win
[3H, 5C, 7H, 8D, KS]         [2D, 5H, 8C, 9H, QH]        player1 win
[2D, 6D, 6C, TH, QD]         [3H, 3S, 4C, KC, AD]        player1 win
[3H, 3C, 4H, 9D, JS]         [5H, TC, JC, QH, QC]        player2 win
[3D, 3S, 3C, 5C, 6H]         [2S, 5S, 7S, JC, QH]        player1 win
[4D, 5C, 5D, 8C, AC]         [2S, 3C, 3H, 4H, QD]        player1 win
[2C, 9C, TD, KD, AH]         [4C, 6S, JS, QD, QC]        player2 win
[3S, 4H, 8C, TC, QS]         [3H, 7C, JS, JC, AD]        player2 win
[4D, 5H, 9C, JC, KS]         [8S, 9S, 9H, TD, TS]        player2 win
[7D, TS, QD, AS, AC]         [2C, 6H, 8H, TD, AH]        player1 win
[4S, 6S, 8C, 9H, AD]         [3C, 8D, 8S, 9D, KH]        player2 win
[2D, 4D, 7S, QS, KH]         [3C, 4C, JS, JC, AD]        player2 win
[7H, 9S, TD, QS, KC]         [5H, TH, JS, JH, AC]        player2 win
[2S, 6D, 7C, QS, AC]         [5S, 6S, KS, KH, AS]        player2 win
[3C, 6D, 8H, QS, KH]         [2H, 5C, 6C, 9C, 9D]        player2 win
[2C, 4C, 6H, 7D, JS]         [3H, TD, JC, QD, AC]        player2 win
[4H, 4C, 8H, JD, QC]         [5C, 7S, KD, KS, KC]        player2 win
[2D, 2S, 3H, 6D, QD]         [5S, 6S, 7H, TH, AS]        player1 win
[2C, 6D, 8D, 8S, AS]         [8H, TD, JC, QD, AH]        player1 win
[2D, 9C, 9H, TD, QH]         [2H, 3D, 5C, 8H, TC]        player1 win
[2S, 3D, 8S, KC, KH]         [4D, 6S, TS, TC, JH]        player1 win
[9H, 9D, QS, KC, AC]         [4D, 5D, 6H, 8D, AH]        player1 win
[4H, 5C, 7C, 9S, QS]         [2H, 7D, 8S, JS, AD]        player2 win
[2C, 3D, 9S, AC, AS]         [2D, 2H, 3H, JC, KH]        player1 win
[7H, TC, JD, QH, KH]         [4C, 5S, 8H, 8D, KS]        player2 win
[2H, 2S, 3S, 5H, 7H]         [3C, 9H, QS, KD, AS]        player1 win
[3D, 5S, 6H, JD, AD]         [3S, 6D, 9C, 9S, AC]        player2 win
[2D, 3D, 5D, 9C, AC]         [2S, 4S, 6C, 6S, AD]        player2 win
[2D, 3H, 4C, 6S, QC]         [2H, JH, QH, QD, KC]        player2 win
[3C, 4D, 8S, 9S, QC]         [2H, 5C, 8H, QS, QD]        player2 win
[3S, 6D, 6S, 7H, KD]         [2H, 5C, 6C, JC, KH]        player1 win
[3S, 6S, 8H, 9S, TC]         [2D, 7S, 8S, TS, AD]        player2 win
[3C, 3H, 5C, 6H, 9C]         [8H, TD, JC, QH, QD]        player2 win
[3C, 5D, TD, JS, QD]         [2C, 9H, TH, KH, AS]        player2 win
[3D, 5C, 9S, TC, JD]         [5H, 9H, QH, KC, AD]        player2 win
[3H, 4H, 7H, 8H, TC]         [2S, 6S, 7C, TD, AC]        player2 win
[3C, 5D, 9D, JC, QS]         [2S, 4D, 6C, JH, KS]        player2 win
[3C, 6S, 7H, 9S, TS]         [3D, 4C, 6D, 9C, KD]        player2 win
[2D, 7H, 9H, AH, AC]         [2S, 3S, 7C, JH, QC]        player1 win
[2H, 3C, 9H, QD, AC]         [8S, 8C, KD, KH, AS]        player2 win
[2D, 6D, 7S, TD, TH]         [2H, 4D, 5S, 8D, JD]        player1 win
[8S, JD, QH, QS, KD]         [3S, 4D, 5H, JH, KC]        player1 win
[3C, 6D, 8H, QC, KH]         [2D, 3S, 7D, TD, AH]        player2 win
[4S, 5S, 6S, 9H, QH]         [6C, 6D, 7S, TS, TH]        player2 win
[4C, 6C, 6D, JS, QS]         [3H, 8D, 8S, 9C, TS]        player2 win
[2C, 5C, 7S, JS, AS]         [2H, 5S, TC, AH, AD]        player2 win
[6C, 9C, 9D, TS, KD]         [2S, 2C, 4H, JC, QD]        player1 win
[3H, 9H, TC, QS, KC]         [3C, 4H, TH, KS, AD]        player2 win
[2H, 9C, 9D, KH, KD]         [2D, 7S, TC, JH, KC]        player1 win
[3S, 7C, 8C, KC, AS]         [3H, 5D, 9C, 9S, QH]        player2 win
[2D, 2H, 4C, 8C, TD]         [2C, 5D, 7D, TC, QC]        player1 win
[4D, 6C, TD, QH, KS]         [5D, 7C, 8D, KH, AD]        player2 win
[2S, 4C, 8S, 8C, 9S]         [3D, 6H, 7C, 7H, QD]        player1 win
[5H, 6C, 8S, TS, QH]         [2S, 2H, 3C, 4S, 5C]        player2 win
[2H, 3S, 6S, 8S, JC]         [2S, 3H, 7H, 8C, 9D]        player1 win
[2C, 8H, 9C, QC, AC]         [3S, 4C, 4H, 6S, JD]        player2 win
[3H, 3S, 4C, 7D, 9S]         [3D, 5H, 8H, TC, JC]        player1 win
[2S, 2D, 9S, QH, KD]         [6D, 9H, 9C, QD, AD]        player2 win
[2D, 8D, 9S, JC, KS]         [4C, 4S, TH, JD, KC]        player2 win
[4D, 5C, 6D, TS, KH]         [5H, 9H, KD, AS, AD]        player2 win
[5D, 6D, 7C, JS, QD]         [5C, 5H, TH, QH, QS]        player2 win
[5H, 9D, JH, QH, KH]         [4C, 4D, 6C, TC, TH]        player2 win
[9D, TS, KH, KD, AS]         [4D, 5S, 7S, 8H, 9C]        player1 win
[2S, 7D, 9D, KH, AS]         [4C, 7C, TS, TH, AH]        player2 win
[4D, 8S, 9S, KS, AC]         [5C, 8D, 9D, TH, QH]        player1 win
[5D, 5C, 8C, TC, QS]         [2C, 3D, 3S, 4C, 8D]        player1 win
[2D, 3C, 9D, KS, KC]         [4S, 6C, 8C, JC, KH]        player1 win
[6H, 7D, 7S, 8H, AH]         [3C, 4C, 6C, QD, KC]        player1 win
[2C, 3H, 8H, QH, AS]         [4C, 4H, 7D, 8C, KC]        player2 win
[2C, 4H, 5S, TD, QD]         [4C, 8S, JH, QH, AH]        player2 win
[3H, 5S, 8H, JS, QS]         [2S, 2C, 3S, 9H, 9C]        player2 win
[6H, 7S, TS, JC, QD]         [3H, 5S, TD, KC, AC]        player2 win
[7D, JC, QH, QS, AS]         [2C, 4C, 5C, 5S, KC]        player1 win
[3D, 4H, JS, QH, AS]         [2S, 7H, 8D, 9C, JC]        player1 win
[2S, 4D, 4S, 5D, 9D]         [2D, 7H, 8H, 9C, QS]        player1 win
[3H, 6D, 7H, TS, JS]         [2D, 7C, 8S, JH, AC]        player2 win
[3C, 5H, TC, JH, KC]         [4C, 5S, 8H, 9H, 9D]        player2 win
[5H, 8S, 9H, KC, AD]         [8D, 9D, KS, KH, AH]        player2 win
[2H, 6S, 9H, JC, KS]         [3H, 5H, 9C, QC, AH]        player2 win
[5C, 5S, 6C, KH, AD]         [9H, 9C, TD, JC, QC]        player2 win
[2D, 5S, 5D, JC, QH]         [2H, 8H, TS, QS, KS]        player1 win
[5H, 5S, 7H, JH, AH]         [3C, 8S, TD, KH, AS]        player1 win
[2C, 3D, 4C, 6H, JD]         [6C, 7S, JH, KC, AH]        player2 win
[4C, 7S, 9D, KS, AD]         [3S, 7D, 8H, 9C, KC]        player1 win
[3C, 5C, 5H, 7H, 8H]         [3D, 6D, JC, QC, KH]        player1 win
[2D, 4H, 5D, 7D, QC]         [8H, 9H, QH, AD, AH]        player2 win
[3S, 8C, 9D, JS, KD]         [2H, 2S, 3C, 5D, 6D]        player2 win
[3C, 6S, 6H, 8S, TS]         [3H, 5S, 6C, 8D, TD]        player1 win
[3D, 7C, 9C, JH, KS]         [4H, 5S, 6H, 9S, QS]        player1 win
[4S, 6S, 7S, TH, KC]         [3S, JC, JH, KD, KS]        player2 win
[2S, 3C, 6D, 7C, QH]         [2C, 5H, 7S, 8H, AH]        player2 win
[6D, 8D, QD, KC, KH]         [3D, 5C, 7H, 9D, 9C]        player1 win
[2D, 6H, 8S, 9S, JS]         [2S, 6D, 7C, TC, KC]        player2 win
[7H, 9C, JH, KD, KC]         [2S, 3D, 6H, 7S, 8S]        player1 win
[2D, 4H, 4C, 8H, 9H]         [2H, 5S, 7H, 8S, 8D]        player2 win
[3C, 5S, 7C, 7S, AD]         [3D, 4D, 9H, JC, KH]        player1 win
[5D, 6D, 7D, 9C, AS]         [4C, JC, QH, QS, KH]        player2 win
[3D, 7D, JD, QS, KD]         [6D, 8S, JS, QC, QD]        player2 win
[5S, 6S, 8C, TH, QH]         [2C, 9H, JD, AS, AC]        player2 win
[3C, 7S, QC, QH, KS]         [4C, 5C, 5D, KC, AH]        player1 win
[2C, 4H, 6C, 9D, AH]         [3H, 3D, 5C, TS, KD]        player2 win
